Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/CR3annN5,2024.08.21,?,kranec123,talmizrahi1,0-1,2024.08.21,11:17:17,1326,1325,-6,+6,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/UhmD4ZMI,2024.08.21,?,talmizrahi1,zain1231234,1-0,2024.08.21,11:15:09,1320,1307,+5,-6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/jxfsgnrw,2024.08.21,?,MajkiTheChessMaster,talmizrahi1,1-0,2024.08.21,11:12:45,1348,1325,+5,-5,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/ZO79glMB,2024.08.21,?,talmizrahi1,BlueSoaron,1-0,2024.08.21,11:10:28,1320,1276,+5,-5,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/7sxBGqZq,2024.08.21,?,talmizrahi1,andrejb2,1-0,2024.08.21,10:57:24,1316,1236,+4,-4,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/pSPkotuM,2024.08.21,?,magiciannail,talmizrahi1,1-0,2024.08.21,10:55:08,1304,1322,+6,-6,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/sfTwgoWC,2024.08.21,?,talmizrahi1,NIKK970,1-0,2024.08.21,10:30:26,1316,1303,+6,-5,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/jJVaqtn4,2024.08.21,?,ivanchuk_safi,talmizrahi1,1-0,2024.08.21,10:05:53,1283,1322,+8,-6,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/ixvnyVgu,2024.08.21,?,talmizrahi1,degito,1-0,2024.08.21,09:36:09,1317,1274,+5,-5,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/FuzHVTgT,2024.08.21,?,talmizrahi1,Aks100,0-1,2024.08.21,09:33:56,1325,1224,-8,+7,Standard,60+0,B40,Time forfeit
Rated bullet game,https://lichess.org/Q6Ua0RiN,2024.08.21,?,Holly500,talmizrahi1,1-0,2024.08.21,09:31:38,1401,1329,+4,-4,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/54ZwFv0T,2024.08.21,?,Quavotaku01,talmizrahi1,0-1,2024.08.21,09:29:23,1371,1323,-7,+6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/3jcavNix,2024.08.21,?,Niknantes,talmizrahi1,0-1,2024.08.21,09:27:39,1324,1317,-6,+6,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/bVGzsvpn,2024.08.21,?,unixos,talmizrahi1,0-1,2024.08.21,09:06:22,1365,1310,-7,+7,Standard,60+0,A02,Time forfeit
Rated bullet game,https://lichess.org/Y0z1dS9p,2024.08.21,?,talmizrahi1,Alekai87,1-0,2024.08.21,09:04:11,1306,1223,+4,-5,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/ARc4K01i,2024.08.21,?,talmizrahi1,lapotd,0-1,2024.08.21,09:01:46,1311,1308,-5,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/0FIvRYod,2024.08.21,?,Nguyen_Quoc_Toan,talmizrahi1,0-1,2024.08.21,08:10:50,1367,1305,-7,+6,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/arefT9p4,2024.08.21,?,TobiSo979,talmizrahi1,1-0,2024.08.21,05:30:10,1356,1310,+5,-5,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/Vuy53HLz,2024.08.20,?,talmizrahi1,colemanburtt,0-1,2024.08.20,18:53:12,1315,1319,-5,+6,Standard,60+0,B30,Normal
Rated bullet game,https://lichess.org/urJvVipM,2024.08.20,?,talmizrahi1,Valdecuen,0-1,2024.08.20,18:51:32,1320,1360,-5,+5,Standard,60+0,C47,Normal
Rated bullet game,https://lichess.org/OFZYpviy,2024.08.20,?,cheeeessey,talmizrahi1,0-1,2024.08.20,18:49:10,1321,1314,-5,+6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/EplbzOFK,2024.08.20,?,talmizrahi1,Vivi-07,1-0,2024.08.20,18:46:36,1307,1396,+7,-7,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/8RUPFCtH,2024.08.20,?,talmizrahi1,Boojah,0-1,2024.08.20,18:45:07,1313,1293,-6,+7,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/0G8YFV73,2024.08.20,?,MohamadChikhAlard,talmizrahi1,1-0,2024.08.20,18:43:09,1291,1319,+7,-6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/tNGzcIN6,2024.08.20,?,talmizrahi1,Turqaz42,0-1,2024.08.20,18:37:21,1324,1363,-5,+6,Standard,60+0,C02,Time forfeit
Rated bullet game,https://lichess.org/dd8nIzpb,2024.08.20,?,slomotrashbag,talmizrahi1,0-1,2024.08.20,18:34:54,1290,1319,-5,+5,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/cragfMWl,2024.08.20,?,talmizrahi1,womski1,0-1,2024.08.20,18:32:35,1325,1330,-6,+5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/foNVNmh3,2024.08.20,?,ChessyAditya,talmizrahi1,1-0,2024.08.20,18:30:18,1330,1330,+8,-5,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/PzDvlLb6,2024.08.20,?,talmizrahi1,cmcgruder,1-0,2024.08.20,18:28:09,1326,1212,+4,-22,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/czlJE18v,2024.08.20,?,Gafoor123,talmizrahi1,0-1,2024.08.20,18:27:07,1332,1320,-6,+6,Standard,60+0,B21,Normal
Rated bullet game,https://lichess.org/5giHvfan,2024.08.20,?,talmizrahi1,atul9119,1-0,2024.08.20,18:24:47,1315,1301,+5,-6,Standard,60+0,C20,Normal
Rated bullet game,https://lichess.org/A0w7hyba,2024.08.20,?,sabansahintagil,talmizrahi1,0-1,2024.08.20,18:22:17,1414,1307,-7,+8,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/JOMO9YXa,2024.08.20,?,talmizrahi1,NoJoyHere,0-1,2024.08.20,18:21:11,1313,1312,-6,+6,Standard,60+0,B40,Normal
Rated bullet game,https://lichess.org/PiLpETK8,2024.08.20,?,talentedtallon,talmizrahi1,0-1,2024.08.20,18:19:00,1296,1308,-6,+5,Standard,60+0,D23,Time forfeit
Rated bullet game,https://lichess.org/w5lD7ZIU,2024.08.20,?,talmizrahi1,waqyy,0-1,2024.08.20,18:17:43,1313,1308,-5,+6,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/gEijzRWe,2024.08.20,?,AlfilFou,talmizrahi1,1-0,2024.08.20,18:17:11,1264,1320,+6,-7,Standard,60+0,B22,Normal
Rated bullet game,https://lichess.org/Y7lTrvgO,2024.08.20,?,priestess-of-ur,talmizrahi1,0-1,2024.08.20,18:07:59,1310,1314,-5,+6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/s0sz1ips,2024.08.20,?,talmizrahi1,Daytwelve,0-1,2024.08.20,18:04:56,1320,1311,-6,+6,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/iyxm5n3m,2024.08.20,?,BlackBobbyFischer55,talmizrahi1,1-0,2024.08.20,18:02:39,1329,1326,+6,-6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/wZjQSM9Z,2024.08.20,?,talmizrahi1,davidovichACC,0-1,2024.08.20,18:00:28,1331,1360,-5,+6,Standard,60+0,C42,Normal
Rated bullet game,https://lichess.org/ahcsVKFU,2024.08.20,?,talmizrahi1,S11B,0-1,2024.08.20,17:58:19,1336,1353,-5,+14,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/F2xINLr5,2024.08.20,?,talmizrahi1,admsmt75,0-1,2024.08.20,17:46:04,1341,1390,-5,+5,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/x18H4x1x,2024.08.20,?,talmizrahi1,xadolei,0-1,2024.08.20,17:43:54,1348,1298,-7,+7,Standard,60+0,B08,Time forfeit
Rated bullet game,https://lichess.org/51MjYW9l,2024.08.20,?,yamanocave,talmizrahi1,1-0,2024.08.20,17:42:05,1346,1353,+6,-5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/9Rd9QNYP,2024.08.20,?,izidem,talmizrahi1,0-1,2024.08.20,17:41:11,1465,1346,-7,+7,Standard,60+0,A01,Normal
Rated bullet game,https://lichess.org/zJdMwko0,2024.08.20,?,tinkerbeast,talmizrahi1,1-0,2024.08.20,17:39:14,1368,1351,+6,-5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/6F48Uroz,2024.08.20,?,talmizrahi1,ondersener,1-0,2024.08.20,17:37:02,1345,1362,+6,-6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/7LVq40ZL,2024.08.20,?,AdrianCPolit,talmizrahi1,1-0,2024.08.20,17:35:50,1351,1351,+5,-6,Standard,60+0,D07,Normal
Rated bullet game,https://lichess.org/pIeM6mrl,2024.08.20,?,talmizrahi1,Abubakr0904,0-1,2024.08.20,17:33:43,1356,1358,-5,+5,Standard,60+0,C02,Time forfeit
Rated bullet game,https://lichess.org/zlvNbI8c,2024.08.20,?,talmizrahi1,Dofrakuv,1-0,2024.08.20,16:59:14,1349,1449,+7,-7,Standard,60+0,B30,Normal
Rated bullet game,https://lichess.org/bJpHF7W7,2024.08.20,?,Worthy59,talmizrahi1,1-0,2024.08.20,14:05:55,1334,1355,+6,-6,Standard,60+0,B23,Normal
Rated bullet game,https://lichess.org/WwWaT0Ki,2024.08.20,?,ragnaer2023,talmizrahi1,0-1,2024.08.20,14:00:58,1334,1350,-6,+5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/4qZ31ma2,2024.08.20,?,talmizrahi1,Rayus,1-0,2024.08.20,13:51:14,1345,1240,+5,-4,Standard,60+0,C02,Time forfeit
Rated bullet game,https://lichess.org/ZggLzsDR,2024.08.20,?,CuoreRCB,talmizrahi1,1-0,2024.08.20,13:50:10,1390,1350,+5,-5,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/05NaCduP,2024.08.20,?,talmizrahi1,JamesShumway,0-1,2024.08.20,13:48:31,1356,1393,-6,+5,Standard,60+0,C61,Normal
Rated bullet game,https://lichess.org/g8i5KHTI,2024.08.20,?,mohammedads2004,talmizrahi1,1-0,2024.08.20,13:46:10,1340,1362,+6,-6,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/FGxCj2qU,2024.08.20,?,talmizrahi1,kropopski,1-0,2024.08.20,13:41:41,1356,1349,+6,-6,Standard,60+0,B30,Time forfeit
Rated bullet game,https://lichess.org/zVVn9p87,2024.08.20,?,todd1794,talmizrahi1,0-1,2024.08.20,12:02:34,1411,1349,-7,+7,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/38C8RCg9,2024.08.20,?,talmizrahi1,AlexHernAlujer,1-0,2024.08.20,12:01:44,1343,1342,+6,-13,Standard,60+0,C42,Normal
Rated bullet game,https://lichess.org/0SYrJBAH,2024.08.20,?,debrupdas,talmizrahi1,1-0,2024.08.20,12:00:32,1436,1348,+5,-5,Standard,60+0,B21,Normal
Rated bullet game,https://lichess.org/OqJ4mhwT,2024.08.20,?,talmizrahi1,DandySun,0-1,2024.08.20,11:58:09,1353,1389,-5,+6,Standard,60+0,B30,Time forfeit
Rated bullet game,https://lichess.org/4Zbehdah,2024.08.20,?,talmizrahi1,lilhalit,0-1,2024.08.20,11:56:04,1358,1385,-5,+5,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/RpEzNPmH,2024.08.20,?,gegendenWind,talmizrahi1,1-0,2024.08.20,11:50:35,1352,1364,+6,-6,Standard,60+0,D22,Time forfeit
Rated bullet game,https://lichess.org/ojLZNgOJ,2024.08.20,?,talmizrahi1,StanKart,1-0,2024.08.20,11:45:49,1356,1469,+8,-8,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/ph3gSDlq,2024.08.20,?,Szalony_tuptup,talmizrahi1,1-0,2024.08.20,11:43:55,1316,1363,+7,-7,Standard,60+0,D00,Normal
Rated bullet game,https://lichess.org/foPgwJYZ,2024.08.20,?,RichardFleischer,talmizrahi1,1-0,2024.08.20,11:41:45,1361,1369,+5,-6,Standard,60+0,D22,Time forfeit
Rated bullet game,https://lichess.org/Ai10ZYFq,2024.08.20,?,talmizrahi1,SergeyDontsov,0-1,2024.08.20,11:40:43,1374,1408,-5,+5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/1wrQ2nb3,2024.08.20,?,JarOfNibbles,talmizrahi1,1-0,2024.08.20,11:38:28,1412,1379,+5,-5,Standard,60+0,D24,Time forfeit
Rated bullet game,https://lichess.org/hR9cGFoz,2024.08.20,?,mrRobot157,talmizrahi1,0-1,2024.08.20,11:15:00,1406,1373,-6,+6,Standard,60+0,A04,Normal
Rated bullet game,https://lichess.org/DtrDrgUw,2024.08.20,?,talmizrahi1,NassimNasri,1-0,2024.08.20,11:08:30,1367,1362,+6,-6,Standard,60+0,C49,Time forfeit
Rated bullet game,https://lichess.org/fGoeMDJf,2024.08.20,?,raffinate,talmizrahi1,0-1,2024.08.20,10:31:45,1352,1361,-6,+6,Standard,60+0,D20,Normal
Rated bullet game,https://lichess.org/d4eAHB2Z,2024.08.20,?,talmizrahi1,drtepe,1-0,2024.08.20,10:30:21,1355,1380,+6,-6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/Iqvt88L3,2024.08.20,?,talmizrahi1,BhasuruSrimonish,1-0,2024.08.20,10:27:59,1349,1359,+6,-6,Standard,60+0,A06,Time forfeit
Rated bullet game,https://lichess.org/GvZy3Ljg,2024.08.20,?,crjlaw,talmizrahi1,1-0,2024.08.20,10:25:39,1363,1355,+5,-6,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/QByS3pSM,2024.08.20,?,talmizrahi1,thykingburna,1-0,2024.08.20,10:23:17,1350,1295,+5,-5,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/Mcc98o5v,2024.08.20,?,talmizrahi1,gholamrezahajipoor,1-0,2024.08.20,10:21:55,1346,1221,+4,-3,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/ccIA4zNK,2024.08.20,?,real_mblxa_official,talmizrahi1,1-0,2024.08.20,09:43:55,1325,1352,+6,-6,Standard,60+0,A01,Normal
Rated bullet game,https://lichess.org/2QEHphsu,2024.08.20,?,deprem30,talmizrahi1,1-0,2024.08.20,09:41:55,1383,1358,+5,-6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/tZSf7dw1,2024.08.20,?,talmizrahi1,alexander_shpagin,1-0,2024.08.20,09:39:52,1352,1352,+6,-6,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/OSmX5MnC,2024.08.20,?,talmizrahi1,romulije,0-1,2024.08.20,09:37:40,1357,1377,-5,+6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/jUjlpvEd,2024.08.20,?,Jay8252,talmizrahi1,0-1,2024.08.20,09:32:46,1348,1351,-7,+6,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/4Ky5xKfA,2024.08.20,?,zdarovaysatuy,talmizrahi1,0-1,2024.08.20,08:44:10,1384,1345,-6,+6,Standard,60+0,A34,Time forfeit
Rated bullet game,https://lichess.org/m7mJPm5c,2024.08.20,?,totocan45,talmizrahi1,1-0,2024.08.20,08:41:57,1351,1351,+6,-6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/OKF0yg5W,2024.08.20,?,talmizrahi1,MalachiCZ,0-1,2024.08.20,08:39:45,1357,1346,-6,+6,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/D6RC3c01,2024.08.20,?,Yuri_mogilev,talmizrahi1,0-1,2024.08.20,08:37:51,1319,1351,-5,+6,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/Eg9YxwFX,2024.08.20,?,talmizrahi1,koudad,1-0,2024.08.20,08:36:26,1346,1301,+5,-5,Standard,60+0,A45,Time forfeit
Rated bullet game,https://lichess.org/HwhyZLDd,2024.08.20,?,FantomAditya,talmizrahi1,0-1,2024.08.20,08:35:01,1308,1341,-5,+5,Standard,60+0,B23,Normal
Rated bullet game,https://lichess.org/9U6aOHuz,2024.08.20,?,talmizrahi1,tranquanghuy1,0-1,2024.08.20,08:32:37,1347,1347,-6,+6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/b3fbwlqO,2024.08.20,?,RishikDP,talmizrahi1,0-1,2024.08.20,08:31:12,1338,1343,-148,+4,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/6kp01sAO,2024.08.20,?,talmizrahi1,sokiskatA,1/2-1/2,2024.08.20,08:28:57,1342,1393,+1,-1,Standard,60+0,B40,Normal
Rated bullet game,https://lichess.org/T6ZZ5K8i,2024.08.20,?,talmizrahi1,NyaberekaTY,0-1,2024.08.20,08:21:58,1347,1359,-5,+6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/NwVl3Ufh,2024.08.20,?,swtchrilla,talmizrahi1,0-1,2024.08.20,08:20:56,1346,1341,-6,+6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/OCpS4R0p,2024.08.20,?,RamailoManxe,talmizrahi1,1-0,2024.08.20,08:18:41,1340,1347,+6,-6,Standard,60+0,B22,Time forfeit
Rated bullet game,https://lichess.org/SLEeT9PV,2024.08.20,?,bob_tables,talmizrahi1,1-0,2024.08.20,08:17:37,1354,1353,+6,-6,Standard,60+0,D00,Normal
Rated bullet game,https://lichess.org/lXIoK2tX,2024.08.20,?,talmizrahi1,TheGreatGatsby2,0-1,2024.08.20,08:15:17,1358,1386,-5,+12,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/OvC2Oibd,2024.08.20,?,talmizrahi1,DaweedHo,0-1,2024.08.20,08:14:01,1363,1388,-5,+5,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/wmhP9Wkb,2024.08.20,?,talmizrahi1,mihaimarcu1,1/2-1/2,2024.08.20,08:11:46,1363,1370,+0,+0,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/W0VaCNw4,2024.08.20,?,beemkr,talmizrahi1,1-0,2024.08.20,07:50:01,1304,1370,+7,-7,Standard,60+0,B54,Time forfeit
Rated bullet game,https://lichess.org/94Ukhzda,2024.08.20,?,Rkasiva,talmizrahi1,0-1,2024.08.20,07:47:41,1432,1363,-6,+7,Standard,60+0,A04,Time forfeit
Rated bullet game,https://lichess.org/0MCn0ztQ,2024.08.20,?,talmizrahi1,Hammamkamal,0-1,2024.08.20,07:44:56,1369,1321,-6,+6,Standard,60+0,C02,Time forfeit
Rated bullet game,https://lichess.org/7BG4DowT,2024.08.20,?,talmizrahi1,Kyavijyah,1-0,2024.08.20,07:42:38,1364,1358,+5,-5,Standard,60+0,C61,Normal
Rated bullet game,https://lichess.org/vMqOJje4,2024.08.20,?,Kasparavi,talmizrahi1,0-1,2024.08.20,07:40:26,1331,1358,-6,+6,Standard,60+0,B70,Time forfeit
Rated bullet game,https://lichess.org/SdfDHEe5,2024.08.20,?,pantrip,talmizrahi1,0-1,2024.08.20,07:38:14,1342,1353,-6,+5,Standard,60+0,B60,Normal
Rated bullet game,https://lichess.org/8zLAtKRa,2024.08.20,?,talmizrahi1,ELgingo,1-0,2024.08.20,06:36:37,1347,1340,+6,-5,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/DnTaxIzu,2024.08.20,?,talmizrahi1,KaraAmeer,0-1,2024.08.20,06:34:44,1353,1316,-6,+6,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/TXUFRI8a,2024.08.20,?,bebeto98,talmizrahi1,1-0,2024.08.20,06:32:27,1404,1358,+5,-5,Standard,60+0,D21,Normal
Rated bullet game,https://lichess.org/cH5lJNoX,2024.08.20,?,Hendah,talmizrahi1,1-0,2024.08.20,06:30:41,1288,1365,+7,-7,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/YHWt3Rdh,2024.08.20,?,talmizrahi1,jnbypt,1-0,2024.08.20,06:28:10,1359,1414,+6,-7,Standard,60+0,C55,Time forfeit
Rated bullet game,https://lichess.org/qD2b7bRi,2024.08.20,?,ElasticHeart989,talmizrahi1,0-1,2024.08.20,06:25:38,1280,1354,-5,+5,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/Rj3DQuTp,2024.08.20,?,lRumatal,talmizrahi1,1-0,2024.08.20,06:24:23,1368,1360,+5,-6,Standard,60+0,D00,Normal
Rated bullet game,https://lichess.org/8Ygh1iz6,2024.08.20,?,talmizrahi1,rohangarg,0-1,2024.08.20,06:22:08,1365,1406,-5,+5,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/34L2L1mn,2024.08.20,?,talmizrahi1,ohecht1,1-0,2024.08.20,06:19:42,1359,1342,+6,-5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/dGnV2Ylg,2024.08.20,?,talmizrahi1,ReubenGoma,0-1,2024.08.20,06:17:18,1365,1369,-6,+6,Standard,60+0,C47,Time forfeit
Rated bullet game,https://lichess.org/FNt1diZo,2024.08.20,?,fimzzzz,talmizrahi1,0-1,2024.08.20,06:15:31,1500,1361,-358,+4,Standard,60+0,B52,Time forfeit
Rated bullet game,https://lichess.org/fCKvJBFC,2024.08.20,?,talmizrahi1,ArjanPeters,0-1,2024.08.20,06:13:14,1367,1375,-6,+5,Standard,60+0,C02,Time forfeit
Rated bullet game,https://lichess.org/QGt9Bw4L,2024.08.20,?,shalbySolofan,talmizrahi1,0-1,2024.08.20,06:11:02,1278,1362,-4,+5,Standard,60+0,B56,Time forfeit
Rated bullet game,https://lichess.org/bGWyNTaC,2024.08.20,?,Ghost_Viper,talmizrahi1,1-0,2024.08.20,06:08:35,1441,1367,+14,-5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/e0qMrFsq,2024.08.20,?,talmizrahi1,debrupdas,1-0,2024.08.20,06:04:48,1360,1399,+7,-7,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/in7EFQR1,2024.08.20,?,Pemiller,talmizrahi1,1-0,2024.08.20,06:02:28,1482,1364,+4,-4,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/fXifMMX9,2024.08.20,?,talmizrahi1,X-legend,1/2-1/2,2024.08.20,05:59:56,1363,1453,+1,-1,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/H1mDqXu9,2024.08.20,?,beyz_9,talmizrahi1,0-1,2024.08.20,05:57:27,1319,1357,-5,+6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/Sklz0PAl,2024.08.20,?,talmizrahi1,azv68,1-0,2024.08.20,05:54:59,1351,1358,+6,-6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/qxabAMyC,2024.08.19,?,Sportdeporte,talmizrahi1,0-1,2024.08.19,19:40:29,1282,1347,-4,+4,Standard,60+0,D07,Time forfeit
Rated bullet game,https://lichess.org/cZ5Mxm92,2024.08.19,?,talmizrahi1,Emmanuel125,1/2-1/2,2024.08.19,19:38:02,1348,1297,-1,+1,Standard,60+0,C55,Time forfeit
Rated bullet game,https://lichess.org/1n5GaKJ9,2024.08.19,?,talmizrahi1,lyaanChess,1-0,2024.08.19,19:34:54,1342,1350,+6,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/boCpI3wf,2024.08.19,?,auguy,talmizrahi1,0-1,2024.08.19,19:32:31,1348,1336,-6,+6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/r71gCR4Q,2024.08.19,?,If_u_can,talmizrahi1,1-0,2024.08.19,19:31:06,1377,1341,+5,-5,Standard,60+0,D00,Normal
Rated bullet game,https://lichess.org/LcQz05c0,2024.08.19,?,talmizrahi1,garip560,1-0,2024.08.19,19:28:55,1335,1351,+6,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/Tsijkv7n,2024.08.19,?,Juan_el_Pimmolos,talmizrahi1,0-1,2024.08.19,19:26:37,1344,1329,-6,+6,Standard,60+0,A04,Time forfeit
Rated bullet game,https://lichess.org/aZ9hptQR,2024.08.19,?,talmizrahi1,vvpkiev1,0-1,2024.08.19,19:24:27,1333,1446,-4,+4,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/i6qLzKjo,2024.08.19,?,borarsoy,talmizrahi1,1-0,2024.08.19,19:22:08,1336,1338,+6,-5,Standard,60+0,A45,Time forfeit
Rated bullet game,https://lichess.org/F5GrcFcc,2024.08.19,?,talmizrahi1,Belali_Cagry,0-1,2024.08.19,19:19:50,1344,1373,-6,+6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/vNQUj2sx,2024.08.19,?,KameronKrazy23,talmizrahi1,0-1,2024.08.19,19:17:49,1390,1337,-6,+7,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/jzbR1Xav,2024.08.19,?,talmizrahi1,dnalreven,1-0,2024.08.19,19:16:57,1331,1343,+6,-5,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/GrIPvFDM,2024.08.19,?,talmizrahi1,Ruthless_13,1-0,2024.08.19,19:14:38,1326,1298,+5,-5,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/BLWAIw6b,2024.08.19,?,RobertHx,talmizrahi1,0-1,2024.08.19,19:10:19,1265,1321,-5,+5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/bB2qej0T,2024.08.19,?,Eggnogmaniac,talmizrahi1,0-1,2024.08.19,19:08:21,1322,1315,-5,+6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/MBY8YKAH,2024.08.19,?,talmizrahi1,Tox_in,0-1,2024.08.19,19:06:45,1321,1318,-6,+6,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/oHGIuAn2,2024.08.19,?,talmizrahi1,Hakan212121,1-0,2024.08.19,19:03:54,1316,1245,+5,-5,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/tVgqz0Fc,2024.08.19,?,Przemso,talmizrahi1,0-1,2024.08.19,19:03:00,1348,1310,-6,+6,Standard,60+0,B21,Normal
Rated bullet game,https://lichess.org/ASbqsSRX,2024.08.19,?,Moodysoft,talmizrahi1,0-1,2024.08.19,19:00:54,1326,1303,-6,+7,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/y2LAntst,2024.08.19,?,talmizrahi1,IvanovIvan729,1-0,2024.08.19,18:58:32,1297,1322,+6,-6,Standard,60+0,A40,Time forfeit
Rated bullet game,https://lichess.org/nOAx7DOT,2024.08.19,?,Polshabam,talmizrahi1,0-1,2024.08.19,18:56:23,1237,1292,-6,+5,Standard,60+0,B32,Time forfeit
Rated bullet game,https://lichess.org/JVdE1UOq,2024.08.19,?,talmizrahi1,Blake_83,1-0,2024.08.19,18:54:12,1287,1239,+5,-5,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/C1JoSDSj,2024.08.19,?,talmizrahi1,quinzi361,0-1,2024.08.19,18:51:54,1293,1311,-6,+6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/oddUyIsQ,2024.08.19,?,mfsarigedikk,talmizrahi1,1-0,2024.08.19,18:08:08,1266,1299,+6,-6,Standard,60+0,D20,Time forfeit
